enthrallments	enthrallment @@s
unruffled	un @@ruffle @@ed
zeamines	zeamine @@s
alopecist	alopecist
retells	re @@tell @@s
unmistrustful	un @@mistrust @@ful
pinates	pinate @@s
photobiomodulation	photo @@bio @@module @@ate @@ion
postiques	postique @@s
homopolyamide	homo @@poly @@ammonia @@ide
saran	saran
tuchises	tuchis @@s
synthetase	synthet @@ase
delivring	delivre @@ing
coarticulatory	co @@articulate @@ory
isoabsorptions	iso @@absorption @@s
hydrogalvanic	hydrogalvanize @@ic
regionlet	region @@let
wolfess	wolf @@ess
gastritic	gastritis @@ic
plump	plump
pseudobezoar	pseudo @@bezoar
unexactness	un @@exact @@ness
metatags	meta @@tag @@s
legginess	leg @@y @@ness
chortlings	chort @@ling @@s
cryotechnologies	cryo @@techno @@logy @@s
wallhangings	wallhanging @@s
Bruges	Bruges
brokeass	broke @@ass
structurize	structure @@ize
breakdancer	break @@dance @@er
oversizing	over @@size @@ing
arrides	arride @@s
biotherapeutics	bio @@therapy @@ic @@s
frabbing	frab @@ing
bacteriophagous	bacteria @@phagous
actophotometers	acto @@photo @@meter @@s
heaver	heave @@er
retics	retic @@s
Rambam	Rambam
birchlike	birch @@like
Microsofters	Microsoft @@er @@s
pregnadienediols	pregnadienediol @@s
midstroll	mid @@stroll
volatilizing	volatile @@ize @@ing
micropulsation	micro @@pulse @@ation
costliest	cost @@ly @@est
deek	deek
skyscrapers	skyscraper @@s
microecological	micro @@ecology @@ical
ineffectiveness	in @@effect @@ive @@ness
Deborah	Deborah
bolekajas	bolekaja @@s
phenotypic	pheno @@type @@ic
unparametrized	un @@parametrize @@ed
tropicamide	tropicamide
hepatolith	hepato @@lith
Hebdomum	Hebdomum
polarizability	pole @@ar @@ize @@ability
notochordal	noto @@chord @@al
facundious	facundious
vicissitudinous	vicissitude @@ous
botoxing	botox @@ing
RCPOs	RCPO @@s
economiser	economise @@er
conjubilant	conjubilant
ceremonialist	ceremony @@al @@ist
anhydrites	an @@hydrite @@s
semiproductively	semi @@produce @@t @@ive @@ly
recoagulate	re @@coagulate
beylerbeys	beylerbey @@s
abnegator	abnegate @@or
longhair	long @@hair
guinea	guinea
allochoric	allo @@choric
billethead	billet @@head
humanitarianly	human @@ity @@arian @@ly
overcapitalization	over @@capital @@ize @@ation
subskill	sub @@skill
preconceptional	pre @@concept @@ion @@al
macroassembly	macro @@assemble @@y
elecampanes	elecampane @@s
mantellone	mantellone
nonpermissible	non @@permissible
roastees	roast @@ee @@s
apiological	apiology @@ical
stillborns	still @@born @@s
Gaelicist	Gael @@ic @@ist
commandlets	commandlet @@s
paralogons	paralogon @@s
instrumentalizer	instrument @@al @@ize @@er
degs	deg @@s
slow-paced	slow @@pace @@ed
gashing	gash @@ing
Lundblad	Lundblad
reaal	rea @@al
mitomycin	mitomycin
self-hating	self @@hate @@ing
rhinosinusitises	rhino @@sinus @@itis @@s
EPCs	EPC @@s
accidences	accidence @@s
intercross	inter @@cross
biocomplexes	bio @@complex @@s
kluges	kluge @@s
opining	opine @@ing
directorates	direct @@or @@ate @@s
neuroprocessors	neuro @@process @@or @@s
autotargets	autotarget @@s
gratifiers	gratify @@er @@s
resonistors	resonistor @@s
alethinophidians	alethinophidian @@s
Rosalee	Rosalee
marlaceous	marlaceous
teabaggers	tea @@bag @@er @@s
turbocharger	turbo @@charge @@er
topophones	topo @@phone @@s
detestest	detest @@est
LRADs	LRAD @@s
hijackee	hijack @@ee
walkabouts	walk @@about @@s
retransition	re @@transition
eigensymbols	eigen @@symbol @@s
antisyphilis	anti @@syphilis
electroradiographic	electro @@radio @@graphy @@ic
vexillologists	vexillum @@logy @@ist @@s
perriers	perry @@er @@s
sycophancies	sycophancy @@s
pantisocratic	pantiso @@cracy @@ic
funklike	funk @@like
microjanskys	micro @@jansky @@s
acquirers	acquire @@er @@s
oleodistillates	oleo @@distillate @@s
screeding	screed @@ing
hypergeometric	hyper @@geometer @@ic
fifi	fifi
pregerminated	pre @@germinate @@ed
birdkind	bird @@kind
antiliquor	anti @@liquor
photolarvicidal	photo @@larva @@cidal
scenesterism	scenester @@ism
nooning	noon @@ing
unmaximizing	un @@maximum @@ize @@ing
hyperoperation	hyper @@opera @@ation
reattachment	re @@attach @@ment
tradescantias	tradescantia @@s
feudlike	foe @@d @@like
umbriferous	umbriferous
haemoparasites	haemo @@parasite @@s
Komatsu	Komatsu
iconoclasts	iconoclast @@s
thyrogenic	thyro @@genic
sorostitutes	sorostitute @@s
hazeless	haze @@less
footwalls	foot @@wall @@s
extraspective	extra @@spect @@ive
badassness	bad @@ass @@ness
forebulges	fore @@bulge @@s
e-market	e @@market
commutabilities	commute @@ability @@s
neurolupus	neuro @@lupus
thermotherapy	thermo @@therapy
bedeafening	be @@deaf @@en @@ing
resurveil	re @@surveil
fibrovascular	fibro @@vascular
knucker	knucker
indigotic	indigote @@ic
macroautophagosomes	macro @@auto @@phago @@some @@s
zives	zive @@s
intrications	intricate @@ion @@s
levitational	levitate @@ion @@al
Jared	Jared
heterogenized	heterogenize @@ed
allogenetically	allo @@gene @@ic @@ally
dadcore	dad @@core
leishporins	leishporin @@s
conventionalised	convene @@ion @@al @@ise @@ed
hepatocarcinogenicity	hepato @@carcino @@genic @@ity
conversationed	converse @@ation @@ed
nighly	nigh @@ly
daunomycins	daunomycin @@s
ciswashes	cis @@wash @@s
counterbattery	counter @@battery
fowlkind	fowl @@kind
housewifization	housewifization
stretchedness	stretch @@ed @@ness
adultness	adult @@ness
SA100s	SA100 @@s
octupled	octuple @@ed
vulgarizers	vulgar @@ize @@er @@s
unlethal	un @@lethal
dryshod	dry @@shod
disenchanters	dis @@enchant @@er @@s
polycules	polycule @@s
Naucratis	Naucrati @@s
yeens	yeen @@s
Hiscock	Hiscock
expletively	expletive @@ly
culinarily	culinary @@ly
gaggiest	gag @@y @@est
carplike	carp @@like
wretchock	wretchock
tetradonematids	tetradonematid @@s
photocomposed	photo @@compose @@ed
gunbearers	gun @@bear @@er @@s
defibrillized	de @@fibrillize @@ed
circumarene	circum @@arene
unplaces	un @@place @@s
unevened	un @@eve @@en @@ed
triangulenes	tri @@angle @@ne @@s
frozenly	freeze @@ly
bekens	be @@ken @@s
cajoler	cajole @@er
dykelets	dyke @@let @@s
smiddies	smid @@y @@s
prefires	pre @@fire @@s
kochliarion	kochliarion
knowleching	knowlech @@ing
crossfishes	cross @@fish @@s
allyloxyindoles	allyloxyindole @@s
ophthalmopareses	ophthalmo @@paresis @@s
sodomised	sodomise @@ed
chasubles	chasuble @@s
pregames	pre @@game @@s
disbend	dis @@bend
self-censorship	self @@censor @@ship
Schwarz	Schwarz
pandemic	pan @@deme @@ic
glumaceous	glumaceous
bipotentially	bi @@potent @@ial @@ly
softnose	soft @@nose
dracone	dracone
overirrigation	over @@irrigate @@ion
jetload	jet @@load
tricyclic	tri @@cycle @@ic
chafferns	chaffern @@s
philanderess	philander @@ess
interradially	inter @@radius @@al @@ly
argoletiers	argoletier @@s
nontransnational	non @@transnation @@al
pedicels	pedicel @@s
angakkuq	angakkuq
inosinome	inosin @@ome
predelinquents	pre @@delinquent @@s
Bordertown	Border @@town
conivaptan	conivaptan
noodniks	noodnik @@s
throe	throe
bloodyhandedness	bloodyhanded @@ness
Whigling	Whigling
Qataris	Qatar @@i @@s
speeling	speel @@ing
furcates	furcate @@s
unpossessive	un @@possess @@ive
eglings	egling @@s
apimania	apimania
microsats	micro @@sat @@s
contrastimulant	contra @@stimulate @@ant
dreaped	dreap @@ed
ovariectomising	ovariectomise @@ing
seaweedy	sea @@wee @@d @@y
nucleotransfection	nucleo @@transfection
phosphoisotypes	phospho @@iso @@type @@s
bushwhacking	bush @@whack @@ing
Lambertism	Lambert @@ism
versicular	versicular
singulations	singulation @@s
pilfer	pilf @@er
proracial	pro @@race @@ial
antitobacco	anti @@tobacco
parachute	parachute
immunorelevant	immuno @@relevant
precremation	pre @@cremate @@ion
portamento	portamento
receptacular	receptacle @@ar
clarity	clarity
aminoalkoxy	amino @@alkoxy
nanochannels	nano @@channel @@s
mechanocardiogram	mechano @@cardio @@gram
tampoon	tampoon
merogeny	mero @@geny
CGAs	CGA @@s
superelliptical	super @@ellipsis @@ical
macédoines	macédoine @@s
Bracken	Bracken
underspends	under @@spend @@s
nonconstancy	non @@constant @@cy
outhurl	out @@hurl
episymbionts	episynbiont @@s
defur	de @@fur
PNCs	PNC @@s
proctophagy	procto @@phagy
demibrigade	demi @@brigade
hippurates	hippurate @@s
acclivitous	acclivitous
fraxinin	fraxinin
pistoning	piston @@ing
Thomsett	Thomsett
entoceles	ento @@cele @@s
virtue	virtue
calisayas	calisaya @@s
unruled	unrule @@ed
fratches	fratch @@s
petition	petition
devouringly	devour @@ing @@ly
halloysitic	halloysite @@ic
Zulueta	Zulueta
upturn	up @@turn
timebooks	time @@book @@s
amberfish	amber @@fish
reconnection	re @@connect @@ion
dermatohistopathologists	dermato @@histo @@pathology @@ist @@s
Paeroa	Paeroa
underdiscussing	under @@discuss @@ing
marauded	maraud @@ed
outswung	out @@swung
xenoimmunizations	xeno @@immune @@ization @@s
Beijingers	Beijinger @@s
particularists	particle @@ar @@ist @@s
conns	conn @@s
tendu	tendu
foodaholics	food @@aholic @@s
fairminded	fair @@mind @@ed
overmothered	over @@mother @@ed
crafts	craft @@s
telemeetings	telemeeting @@s
impassionedness	in @@passion @@ed @@ness
glycoinformatic	glyco @@informatic
chuttering	chut @@er @@ing
volitionalist	volition @@al @@ist
sorghum	sorghum
historified	history @@fy @@ed
lotiform	lotiform
biordinal	bi @@ordinal
Partium	Partium
stiffer	stiff @@er
macrozooplanktonic	macro @@zoo @@plankton @@ic
Rutog	Rutog
popularizers	populous @@ar @@ize @@er @@s
chaste	chaste
funerary	funerary
kidvid	kid @@vid
Terence	Terence
concrewed	concrew @@ed
faggotry	faggot @@ry
undefinedly	un @@define @@ed @@ly
jagirdars	jagirdar @@s
strikter	strikt @@er
manufactory	manufactory
provinciated	provinciate @@ed
volva	volva
boundedness	boun @@d @@ed @@ness
disintricated	dis @@intricate @@ed
ribbiting	ribbit @@ing
isonitrogenous	iso @@nitro @@genous
phoniatricians	phoniatrician @@s
criminalization	crime @@al @@ization
defreaked	de @@freak @@ed
ultramicrostructures	ultra @@micro @@structure @@s
mosaicultures	mosaiculture @@s
fizzle	fizzle
preabortion	pre @@abort @@ion
consing	conse @@ing
marcelled	marcel @@ed
Petrucci	Petrucci
nonretouched	non @@retouch @@ed
radiopaque	radiopaque
phakinin	phakinin
sphygmic	sphygmus @@ic
benchmarkable	benchmark @@able
lactoflavins	lactoflavin @@s
hapticity	haptic @@ity
progenerated	progenerate @@ed
Lylah	Lylah
Calixtinism	Calixtin @@ism
pourers	pour @@er @@s
mercaptoacetates	mercapto @@acetate @@s
minesite	mine @@site
unsurmountably	un @@surmount @@able @@ly
toxidermias	toxidermia @@s
xanthogen	xantho @@gen
palaeopathologist	palaeo @@pathology @@ist
forecastle	fore @@castle
catoecic	catoecia @@ic
nanodamage	nano @@damage
oos	oo @@s
decacarbonate	deca @@carbon @@ate
paintability	paint @@ability
outscouts	out @@scout @@s
Weider	Weider
collembology	collembology
jabillos	jabillo @@s
leaguers	league @@er @@s
nonprint	non @@print
degged	deg @@ed
immunopeptidomic	immuno @@peptidome @@ic
nitrogenization	nitro @@gen @@ization
Carlists	Carl @@ist @@s
nephrometric	nephro @@metric
estramacons	estramacon @@s
psychopedagogy	psycho @@pedagogy
hypertropia	hypertropia
undecodable	un @@decode @@able
unhaveable	un @@have @@able
overexplained	over @@explain @@ed
minimotif	minimotif
esophagoscopies	esophago @@scopy @@s
polymethacrylic acid	poly @@meth @@acrylic acid
lectins	lectin @@s
ludlockite	ludlockite
suscipients	suscipient @@s
kaiks	kaik @@s
diegesis	diegesis
konaks	konak @@s
aiglets	aiglet @@s
pinups	pinup @@s
hybridicity	hybrid @@ic @@ity
Phipson	Phipson
Wywoda	Wywoda
glueboards	glue @@board @@s
rusma	rusma
midbasal	mid @@base @@al
boolies	booly @@s
sandlessness	sand @@less @@ness
mucolipins	muco @@lipo @@in @@s
dispauper	dis @@pauper
iamatological	iamatology @@ical
unfortuitous	un @@fortuity @@ous
predoctorate	pre @@doctor @@ate
pharmacophenotype	pharmaco @@pheno @@type
hendecameter	hendeca @@meter
beselves	be @@selve @@s
confusingly	confuse @@ing @@ly
Kaaba	Kaaba
recopyings	recopying @@s
sely	sely
interglaciation	inter @@glaciate @@ion
h8ed	h8 @@ed
harborous	harbor @@ous
heliotropic	helio @@tropic
Anglified	Anglify @@ed
gen'rals	gen'ral @@s
Yukie	Yukie
dejectedness	deject @@ed @@ness
dequantizing	de @@quantum @@ize @@ing
shitlings	shit @@ling @@s
Quinny	Quinny
Lizard	Lizard
Singaporeanization	Singapore @@an @@ization
snideness	snide @@ness
archaeocytes	archaeo @@cyte @@s
Bigby	Bigby
disposited	disposit @@ed
exsheathing	ex @@sheathe @@ing
blimped	blimp @@ed
nonangelic	non @@angel @@ic
antigonadotropic	anti @@gonad @@o @@tropic
prosties	prostie @@s
crimmigrations	crimmigrate @@ion @@s
detusking	de @@tusk @@ing
shaheens	shaheen @@s
zombifies	zombie @@fy @@s
misdefining	mis @@define @@ing
Grandisonian	Grandison @@ian
nonpervasive	non @@pervade @@ive
micropixels	micro @@pix @@el @@s
omnicompetences	omni @@competent @@ence @@s
deracialising	de @@race @@ial @@ise @@ing
urinemias	urinemia @@s
acetowhite	acetowhite
deadpans	dead @@pan @@s
unicortically	uni @@cortical @@ly
isopanose	iso @@panose
Narragansetts	Narragansett @@s
Anabaptisms	Anabaptism @@s
ginnels	ginnel @@s
polyhouse	poly @@house
erythrophobia	erythro @@phobia
eggheaded	egg @@head @@ed
queenships	queen @@ship @@s
drowseth	drowse @@eth
barrenwort	barren @@wort
seedpod	see @@d @@pod
aeroclubs	aeroclub @@s
nonchiral	non @@chiral
altarlike	altar @@like
hypolipemic	hypo @@lipo @@emia @@ic
afebrile	afebrile
autogases	auto @@gas @@s
licensures	licensure @@s
hypnosis	hypno @@osis
cheilognathopalatoschises	cheilognathopalatoschise @@s
sprightful	spright @@ful
possessing	possess @@ing
chaetognath	chaetognath
binaries	binary @@s
trangles	trangle @@s
sistas	sista @@s
chabutra	chabutra
circumjacently	circumjacent @@ly
evictors	evict @@or @@s
rehomogenises	re @@homogenise @@s
meshuggener	meshuggener
bioremoval	bio @@re @@move @@al
oligodynamic	oligo @@dynamic
matterates	matterate @@s
captivation	captive @@ation
micronationalism	micro @@nation @@al @@ism
interzygapophyseal	inter @@zygapophyseal
comprovincials	comprovince @@ial @@s
latrons	latron @@s
argumentatively	argue @@ment @@ative @@ly
befooled	be @@fool @@ed
Lisbonites	Lisbon @@ite @@s
spectrophotometrically	spectro @@photo @@metry @@ic @@ally
sclerotherapist	sclero @@therapy @@ist
lumberers	lumber @@er @@s
glycol	glycol
miniraces	mini @@race @@s
Oommen	Oommen
subselects	sub @@select @@s
feckly	feckle @@y
clinicogenomics	clinico @@gene @@omics
fairyhood	fey @@ry @@hood
earspoons	ear @@spoon @@s
swarees	swaree @@s
derotator	de @@rotate @@or
unenvenomed	un @@envenom @@ed
inky	ink @@y
gavellers	givel @@er @@s
Astaroth	Astaroth
vaporisations	vape @@or @@isation @@s
worrieth	worry @@eth
newsboards	newsboard @@s
Mantatees	Mantatee @@s
glowred	glowr @@ed
serpentist	serpent @@ist
trottole	trottole
supersinglets	super @@single @@let @@s
hypophosphoric	hypo @@phosphor @@ic
multiserotypic	multi @@sero @@type @@ic
trypanorhynchs	trypanorhynch @@s
crofted	croft @@ed
gynephilia	gyne @@philia
bapu	bapu
borian	borian
pointy	point @@y
corkier	cork @@y @@er
superfoetates	super @@foetate @@s
virgularian	virgularian
nonjoinder	non @@joind @@er
wallwards	wall @@wards
redactions	redact @@ion @@s
spadeless	spade @@less
undrown	un @@drown
croodling	croodle @@ing
hyperedited	hyper @@edit @@ed
supranationality	supra @@nation @@al @@ity
Tmolus	Tmolus
fogginess	fog @@y @@ness
angstbunnies	angstbunny @@s
goldentails	goldentail @@s
acrobatids	acrobatid @@s
Apop	Apop
mucoadhesion	muco @@adhesion
digesting	digest @@ing
modelessly	mode @@less @@ly
gloomish	gloom @@ish
Atayde	Atayde
mease	mease
bisulfated	bi @@sulfate @@ed
torpors	torpor @@s
beblubber	be @@blubber
Drin	Drin
saxifying	sax @@ify @@ing
unbugged	un @@bug @@ed
Georgianize	George @@ia @@an @@ize
cytoembryology	cyto @@embryo @@logy
linguo-nasal	linguo @@nasal
sissoos	sissoo @@s
hydraemias	hydro @@aemia @@s
Hispaniolises	Hispaniolise @@s
headset	head @@set
triture	triture
Turkicize	Turk @@ic @@ize
amulettes	amulette @@s
frontierlessness	frontier @@less @@ness
implantability	implant @@ability
nonlogical	non @@logy @@ical
pseudobranchia	pseudo @@branchia
misaccumulation	mis @@accumulate @@ion
spireless	spire @@less
uvic	uvic
superovulation	super @@ovule @@ate @@ion
misliker	mis @@like @@er
associationistic	associate @@ion @@ist @@ic
phagokinesis	phago @@kinesis
nonguided	non @@guide @@ed
pachychalazal	pachychalaza @@al
clogging	clog @@ing
immunotherapeutically	immuno @@therapy @@ic @@ally
foredetermining	fore @@determine @@ing
hendecads	hendeca @@ad @@s
padayatra	padayatra
overdilation	over @@dilate @@ion
isozeaxanthin	iso @@zeaxanthin
rhinocerotids	rhinocerotid @@s
Wemba-Wemba	Wemba @@Wemba
astrotechs	astro @@tech @@s
yiffier	yiffy @@er
begauding	be @@gaud @@ing
wolfcoats	wolf @@coat @@s
untranslatable	un @@translate @@able
refugee	refuge @@ee
mechanosensing	mechano @@sense @@ing
mixoploids	mixoploid @@s
relicenses	re @@license @@s
epidotic	epidote @@ic
biconvexity	bi @@convex @@ity
biostimulate	bio @@stimulate
photorefractory	photo @@refract @@or @@y
myorhythmias	myo @@rhythmia @@s
normouricemics	normo @@uricemic @@s
ostracizer	ostracism @@ize @@er
Ellisonian	Ellison @@ian
nursling	nurse @@ling
eleutherodactylids	eleutherodactylid @@s
cytomorphometry	cyto @@morpho @@metry
Nabozny	Nabozny
misselections	mis @@select @@ion @@s
unshackled	un @@shake @@le @@ed
whimperers	whimper @@er @@s
gnattiest	gnat @@y @@est
Sprechstimme	Sprechstimme
polkaing	polka @@ing
eucaryotic	eucaryote @@ic
misdrives	mis @@drive @@s
misconstruct	mis @@construct
matanza	matanza
energizingly	energize @@ing @@ly
basolateralized	basolateral @@ize @@ed
Goyan	Goyan
staider	staid @@er
tapacolo	tapacolo
borne	borne
squirelet	squire @@let
noones	noone @@s
nonanticoagulated	non @@anti @@coagulate @@ed
pilgrimised	pilgrim @@ise @@ed
dorsodynia	dorso @@odynia
Barnesian	Barnes @@ian
Teeswater	Tees @@water
linograms	lino @@gram @@s
nagewaza	nage @@waza
workerism	work @@er @@ism
crushingness	crush @@ing @@ness
goaty	goat @@y
excerpted	excerpt @@ed
entombers	en @@tomber @@s
unchoice	un @@choice
eliche	eliche
rupture	rupture
multiseed	multi @@see @@d
cultishly	cult @@ish @@ly
high-test	high @@test
halals	halal @@s
antimidge	anti @@midge
domiciliating	domiciliate @@ing
mixies	mixy @@s
Clervaux	Clervaux
overdiluting	over @@dilute @@ing
astroviruses	astro @@virus @@s
protogastric	proto @@gastric
pastism	pastism
tephrite	tephro @@ite
circuslike	circus @@like
bustitutions	bustitute @@ion @@s
hillebrandite	hillebrandite
denominationalization	de @@nominate @@ion @@al @@ization
hyperconvergence	hyper @@con @@verge @@ence
coryphodonts	coryphodont @@s
hoverboard	hove @@er @@board
chitmahals	chitmahal @@s
khabris	khabri @@s
reprinters	reprint @@er @@s
alkaloids	alkali @@oid @@s
chatspeak	chat @@speak
microelectrospray	micro @@electro @@spray
incubations	incubation @@s
monogenotype	mono @@geno @@type
ethnoecology	ethno @@ecology
misstamping	mis @@stamp @@ing
homopters	homopter @@s
clacking	clack @@ing
residuents	residuent @@s
hoarhead	hoar @@head
filterable	filter @@able
neo-Thomism	neo @@Thom @@ism
titantaramellite	titantaramellite
synergic	synergy @@ic
homesigners	homesign @@er @@s
burtite	burtite
Kacer	Kacer
gooseries	goose @@ery @@s
postvaccinial	post @@vaccinial
venturiaceous	venturiaceous
dysproteinaemias	dysproteinaemia @@s
shithouses	shit @@house @@s
videochatted	video @@chat @@ed
boroarginine	boro @@arginine
hematopathological	hemato @@pathology @@ical
coinventing	co @@invent @@ing
insensed	insense @@ed
copier	copy @@er
ravioli	ravioli
surtaxes	sur @@tax @@s
maunders	maunder @@s
filkable	filk @@able
stereoblind	stereo @@blind
Biloxians	Biloxian @@s
pya	pya
barani	barani
fallibleness	fall @@ible @@ness
magnetochronological	magnetochronology @@ical
qualophiles	quale @@o @@phile @@s
gehus	gehu @@s
Seoulites	Seoul @@ite @@s
exponentials	exponent @@ial @@s
overcomplexity	over @@complex @@ity
extracorporeally	extra @@corporeal @@ly
underbakes	under @@bake @@s
bandagelike	band @@age @@like
khatib	khatib
virilisations	virile @@isation @@s
scaritoxins	scaritoxin @@s
cybercafÃ©	cyber @@cafÃ©
retackled	re @@tackle @@ed
resinography	resin @@graphy
engrosser	engross @@er
accresced	accresce @@ed
termenvoxes	termenvox @@s
ruderalised	ruderalise @@ed
retrorectal	retro @@rectum @@al
mousies	mouse @@y @@s
clifflet	cliff @@let
Blaenrhondda	Blaenrhondda
ultraprecise	ultra @@precise
dendrophagous	dendro @@phagous
superinducing	super @@induce @@ing
improsperous	improsperous
columbaries	columbary @@s
globigerinids	globigerinid @@s
overnames	over @@name @@s
hydrometres	hydro @@metre @@s
binoxide	bi @@n @@oxide
archetyped	archetype @@ed
luteoviruses	luteovirus @@s
meseta	meseta
idealistically	idea @@al @@ist @@ic @@ally
emigrational	emigre @@ation @@al
overprioritize	over @@prior @@ity @@ize
mispairing	mis @@pair @@ing
reflectively	reflect @@ive @@ly
mansionette	mansion @@ette
remeshings	remeshing @@s
Huairen	Huairen
parvipelvians	parvipelvian @@s
disparples	disparple @@s
midtimes	mid @@time @@s
deconcocted	de @@concoct @@ed
feudings	feuding @@s
heroicised	hero @@ic @@ise @@ed
kneejointed	knee @@join @@t @@ed
Ancus	Ancus
tapists	tapist @@s
overglad	over @@glad
prologetic	prologetic
Dorito	Dorito
dislodger	dis @@lodge @@er
circummandibular	circum @@mandible @@ar
moviesque	move @@iesque
siphonlike	siphon @@like
stroganoff	stroganoff
esteemeth	esteem @@eth
joying	joy @@ing
paleorainfall	paleo @@rainfall
dishonesties	dis @@honesty @@s
nipped	nip @@ed
spaceproof	space @@proof
thrasonically	thrasonic @@ally
pompousness	pomp @@ous @@ness
seductions	seduce @@ion @@s
unbordered	un @@border @@ed
snary	snare @@y
mycotoxicities	myco @@toxic @@ity @@s
electroparamagnetic	electro @@paramagnet @@ic
solemnised	solemn @@ise @@ed
mergist	mergy @@ist
unconstraint	un @@constrain @@t
landgirls	landgirl @@s
babyfied	babyfy @@ed
Transformer	trans @@form @@er
lairier	lairy @@er
resaving	re @@save @@ing
Sogdiana	Sogdiana
postmodernese	post @@modern @@ese
perfectos	perfecto @@s
overdetermined	over @@determine @@ed
neurodermatitis	neuro @@dermatitis
gastrodelphyids	gastrodelphyid @@s
literalise	literal @@ise
immoralising	immoralise @@ing
exopassive	exo @@passive
dishorsing	dis @@horse @@ing
erythremia	erythremia
mesoflexids	meso @@flexid @@s
midmatch	mid @@match
tweenhood	tween @@hood
thyroglossal	thyro @@glossal
tinyness	tiny @@ness
retransformation	re @@trans @@form @@ation
haemoblast	haemo @@blast
equinumerant	equi @@numerant
preallably	preal @@able @@ly
beefhouse	beef @@house
resemblaunces	re @@semblaunce @@s
sakpata	sakpata
Elizabethanisms	Elizabethanism @@s
declassifies	de @@class @@ify @@s
fullerols	fullerol @@s
sandish	sand @@ish
logicless	logic @@less
physiotherapeutic	physio @@therapy @@ic
rotomoulding	roto @@mould @@ing
noncontemporaneous	non @@contemporaneous
variform	variform
Scuderi	Scuderi
skulls	skull @@s
gastrohepatitis	gastro @@hepatitis
ventriloquizes	ventriloquy @@ize @@s
synchronize	synchrony @@ize
fillos	fillo @@s
Misty	Misty
uncompelled	un @@compel @@ed
acerathere	acerathere
repugnates	repugnate @@s
uneuphonious	un @@euphony @@ous
megabuildings	mega @@build @@ing @@s
presocialist	pre @@social @@ist
gov'ts	gov't @@s
bunkspace	bunk @@space
naviculoids	naviculoid @@s
maizaniids	maizaniid @@s
counterfigure	counter @@figure
foothilled	foot @@hill @@ed
chemotoxins	chemotoxin @@s
potica	potica
foraminifers	foraminifer @@s
antiindependence	anti @@in @@de @@pend @@ence
choltries	choltry @@s
cellooligomers	cello @@oligo @@mer @@s
lairdie	laird @@ie
Pharm.D.	Pharm.D.
lymphomononuclear	lympho @@mono @@nucleus @@ar
unitarizes	unit @@ary @@ize @@s
fandubbing	fandub @@ing
santoninates	santoninate @@s
rerefiner	re @@re @@fine @@er
meetens	meet @@en @@s
cluttery	clot @@ery
isoantigenic	iso @@antigenic
profferable	proffer @@able
penologically	penology @@ical @@ly
Javerts	Javerts
Occitanie	Occitanie
overtrim	over @@trim
mouseholes	mouse @@hole @@s
dulcifying	dulcify @@ing
abjudges	ab @@judge @@s
coelutions	coelution @@s
restrips	re @@strip @@s
titheads	tit @@head @@s
gargoylishness	gargoylish @@ness
basilicon	basilicon
autocalibrations	auto @@calibre @@ation @@s
textualisable	text @@ual @@ise @@able
stroupach	stroupach
warrantlessly	warrant @@less @@ly
wallpapers	wallpaper @@s
flaggeth	flag @@eth
stayning	stayne @@ing
patulous	patulous
counterapplications	counter @@apple @@y @@ation @@s
illuminatingly	illuminate @@ing @@ly
Wechslerian	Wechsler @@ian
draggable	drag @@able
agoraphobic	agora @@phobic
isostrain	iso @@strain
mesothermal	meso @@thermal
crumpler	crump @@le @@er
streamtube	stream @@tube
obsidional	obside @@ion @@al
relettering	re @@let @@er @@ing
sparsifies	sparse @@ify @@s
gadgeteer	gadget @@eer
intervenes	intervene @@s
Xianfeng	Xianfeng
odors	odor @@s
goshawks	goshawk @@s
irrealities	ir @@real @@ity @@s
PCness	PC @@ness
isentropically	isentropic @@ally
fervourous	fervour @@ous
downdated	down @@date @@ed
microsolenoid	micro @@solenoid
Millerian	Miller @@ian
turioniferous	turion @@iferous
floralized	floral @@ize @@ed
aerosolize	aero @@sol @@ize
preophthalmic	pre @@ophthalmic
axoplasm	axo @@plasm
deonyms	deonym @@s
ferroic	ferro @@ic
pentahelicenes	penta @@helicene @@s
galactogenesis	galacto @@genesis
unfavored	un @@favor @@ed
malpaises	mal @@paise @@s
decoyed	decoy @@ed
ensewed	en @@sew @@ed
xanthidylic	xanthidylic
beggars	beg @@ar @@s
Louisvillian	Louis @@ville @@ian
handbikes	hand @@bike @@s
decloaking	de @@cloak @@ing
untwiddled	un @@twiddle @@ed
rejuvinates	rejuvinate @@s
derubylations	de @@rubylation @@s
apahacked	apa @@hack @@ed
guige	guige
berms	berm @@s
vectorised	vector @@ise @@ed
reannouncing	re @@announce @@ing
phosphoresced	phosphoresce @@ed
aquaplaned	aquaplan @@ed
trimetrexate	tri @@metrexate
Shiaphilia	Shia @@philia
killstreak	kill @@streak
diplobionts	diplo @@biont @@s
demyships	demy @@ship @@s
downfault	down @@fault
folivore	folivore
covermounting	cover @@mount @@ing
bas-relief	bas @@relief
plagiarizes	plagiary @@ize @@s
depressants	de @@press @@ant @@s
antipig	anti @@pig
stonebaked	stone @@bake @@ed
apocytochromes	apo @@cyto @@chrome @@s
crappity	crap @@ity
uncocoon	un @@cocoon
modifier	modify @@er
laudingly	laud @@ing @@ly
bikelashes	bikelash @@s
chlorinize	chlorine @@ize
forwear	for @@wear
hankies	hankie @@s
Anishinaabe	Anishinaabe
efficacity	efficacity
